Id,Designator,Package,Designation,,Item Name,Part Number,,,Vendor,Quantity,Cost Per Item,,Cost,,Comments,URL
,,,,,Anderson Housing-Black,,,,Powerwerx,1,0.31,,0.31,,,https://powerwerx.com/anderson-powerpole-colored-housings
,,,,,Anderson Housing-Red,,,,Powerwerx,1,0.31,,0.31,,,https://powerwerx.com/anderson-powerpole-colored-housings
1,Conn1,Anderson_2_Horisontal_Side_by_Side,AndersonPP,,APP PCB-Short,,,,Powerwerx,2,0.41,,0.82,,,https://powerwerx.com/anderson-1336g1-printed-circuit-board-horizontal
2,"Conn2,Conn3",MOLEX_SL_05_Horizontal,Molex_SL_05,,Molex SL-5,WM4903-ND,,,Digikey,2,1.18,,2.36,,,https://www.digikey.com/products/en?keywords=WM4903-ND
3,U1,TM4C129E_Launchpad_X7,TM4C129E_Launchpad,,TM4C129E_Launchpad,296-37267-ND,,,Digikey,1,20.76,,20.76,,,https://www.digikey.com/product-detail/en/texas-instruments/EK-TM4C1294XL/296-37267-ND/4725808
4,U2,SOIC_16_3.9x9.9mm_Pitch1.27mm,MAX_3232,,MAX 3232,1016-1807-6-ND,,,Digikey,1,1.39,,1.39,,,https://www.digikey.com/products/en?keywords=1016-1807-6-ND
5,U3,OKI_Horizontal,OKI,,OKI-5V,811-2692-ND,,,Digikey,1,4.3,,4.3,,,https://www.digikey.com/product-detail/en/murata-power-solutions-inc/OKI-78SR-5-1.5-W36H-C/811-2692-ND/3438675
6,"C1,C2,C4,C5",C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,.1uF,,0603 Capacitor .1u,1276-1005-1-ND,,,Digikey,4,0.1,,0.4,,,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B104KO8NNNC/1276-1005-1-ND/3889091
7,"C3,C6",C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,10uF,,0603 Capacitor 10u,1276-1119-1-ND,,,Digikey,2,0.19,,0.38,,,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10A106MQ8NNNC/1276-1119-1-ND/3889205
